motif_key,motif_type,subtype,count,surface_forms
motif_bamboo,花木,竹,90,竹
motif_book,文藝,書,670,書
motif_chrysanthemum,花木,菊花,14,菊花
motif_dream,夢幻,夢,165,夢
motif_flower,花木,泛花,865,花
motif_fragrance,感官,香氣,804,香
motif_gold,物象,金,662,金
motif_green,顏色,綠色,93,綠
motif_green_blue,顏色,青色,181,青
motif_haitang,花木,海棠,44,海棠
motif_hibiscus,花木,芙蓉,27,芙蓉
motif_illness,身體,疾病,661,病
motif_jade,物象,玉石,6052,玉|通靈寶玉
motif_lotus,花木,蓮,132,蓮
motif_medicine,身體,藥,304,藥
motif_moon,自然,月,798,月
motif_peach_blossom,花木,桃花,28,桃花
motif_peony,花木,牡丹,12,牡丹
motif_plum_blossom,花木,梅花,36,梅花
motif_poetry,文藝,詩,318,詩
motif_purple,顏色,紫色,564,紫
motif_rain,自然,雨,298,雨
motif_red,顏色,紅色,664,紅
motif_snow,自然,雪,289,雪
motif_song_drama,文藝,曲,89,曲
motif_stone,物象,石,233,石
motif_tea,飲食,茶,486,茶
motif_tears,情感身體,哭泣,610,哭
motif_tears,情感身體,眼淚,356,淚
motif_white,顏色,白色,606,白
motif_willow,花木,柳,189,柳
motif_wind,自然,風,472,風
motif_wine,飲食,酒,609,酒
