id,name,type,subtype,frequency,chapter_count,paragraph_count,sentence_count,degree,weighted_degree,surface_forms
person_jia_baoyu,賈寶玉,PERSON,main_character,4068,116,1205,3905,47,3901,寶玉|寶二爺|怡紅公子
person_jia_mu,賈母,PERSON,elder,2669,117,864,2519,45,3336,賈母|老太太|史太君
person_wang_xifeng,王熙鳳,PERSON,main_character,1765,104,665,1713,45,2291,鳳姐|鳳姐兒|璉二奶奶|熙鳳|王熙鳳
person_wang_furen,王夫人,PERSON,family_elder,1071,106,486,1030,43,2186,王夫人
person_xue_baochai,薛寶釵,PERSON,main_character,1148,100,500,1116,43,2117,寶釵|寶姑娘|薛寶釵|蘅蕪君
person_lin_daiyu,林黛玉,PERSON,main_character,1535,94,557,1490,45,2056,黛玉|林黛玉|林姑娘|顰兒|瀟湘妃子
person_xiren,襲人,PERSON,maid,1151,88,404,1116,42,1528,襲人
person_li_wan,李紈,PERSON,main_character,375,59,215,370,40,1031,李紈|稻香老農
person_jia_tanchun,賈探春,PERSON,main_character,439,61,219,432,43,1007,探春
person_jia_zheng,賈政,PERSON,family_elder,939,67,332,919,43,1000,賈政|政老爹
person_jia_lian,賈璉,PERSON,main_character,805,74,291,783,41,965,賈璉|璉二爺
person_xue_yima,薛姨媽,PERSON,family_elder,455,60,211,450,41,945,薛姨媽
person_ping_er,平兒,PERSON,maid,693,70,261,667,43,913,平兒
person_shi_xiangyun,史湘雲,PERSON,main_character,417,44,191,411,39,790,湘雲|史湘雲|雲妹妹
person_yuanyang,鴛鴦,PERSON,maid,417,54,160,401,43,705,鴛鴦
person_you_shi,尤氏,PERSON,family_member,344,47,168,336,38,669,尤氏
person_jia_zhen,賈珍,PERSON,family_elder,426,57,193,414,35,630,賈珍|珍大爺
person_zijuan,紫鵑,PERSON,maid,438,46,142,425,39,590,紫鵑
person_jia_xichun,賈惜春,PERSON,main_character,192,51,99,188,42,571,惜春
person_jia_yingchun,賈迎春,PERSON,main_character,143,45,94,135,41,541,迎春
person_qingwen,晴雯,PERSON,maid,339,44,147,326,35,538,晴雯
person_she_yue,麝月,PERSON,maid,233,46,110,225,33,433,麝月
person_jia_rong,賈蓉,PERSON,family_member,231,40,124,223,29,432,賈蓉
person_jia_she,賈赦,PERSON,family_elder,194,36,99,192,30,430,賈赦
person_xiangling,香菱,PERSON,servant_concubine,282,34,114,264,39,372,香菱|英蓮
person_jia_huan,賈環,PERSON,family_member,151,32,78,146,36,357,賈環
person_xueyan,雪雁,PERSON,maid,151,22,64,151,30,269,雪雁
person_zhao_yiniang,趙姨娘,PERSON,concubine,135,30,65,132,32,268,趙姨娘
person_ying_er,鶯兒,PERSON,maid,131,26,55,126,33,257,鶯兒
person_jia_lan,賈蘭,PERSON,family_member,93,24,49,93,30,257,賈蘭
person_liu_laolao,劉姥姥,PERSON,secondary,287,9,76,277,28,250,劉姥姥
person_qiuwen,秋紋,PERSON,maid,97,32,50,96,31,226,秋紋
person_zhou_rui_jia,周瑞家的,PERSON,servant,168,16,72,164,33,223,周瑞家的
person_jia_yuanchun,賈元春,PERSON,main_character,63,23,41,63,30,186,元妃|元春|賈元春
person_lai_da,賴大,PERSON,servant,90,25,48,90,28,171,賴大
person_you_erjie,尤二姐,PERSON,secondary,95,13,58,94,24,160,尤二姐
person_jinchuan,金釧,PERSON,maid,51,13,25,49,31,135,金釧
person_yuchuan,玉釧,PERSON,maid,52,14,21,49,31,123,玉釧
person_siqi,司棋,PERSON,maid,81,15,31,79,27,122,司棋
person_miaoyu,妙玉,PERSON,main_character,153,18,48,143,26,115,妙玉
person_jia_yucun,賈雨村,PERSON,official,183,20,65,178,29,104,雨村|賈雨村
person_ruhua,入畫,PERSON,maid,19,9,15,19,28,84,入畫
person_you_sanjie,尤三姐,PERSON,secondary,39,7,21,38,16,54,尤三姐
person_shishu,侍書,PERSON,maid,28,4,10,26,11,39,侍書
person_zhen_shiyin,甄士隱,PERSON,opening_character,74,6,27,73,8,28,士隱|甄士隱
person_lin_ruhai,林如海,PERSON,family_member,10,5,8,10,14,26,林如海
person_leng_zixing,冷子興,PERSON,secondary,8,4,6,8,9,13,冷子興
person_qin_keqing,秦可卿,PERSON,main_character,8,2,5,8,3,6,可卿
